device: cuda
parameters: 1,449,187
warm start: 62 tensors loaded, value head fresh
train=61758 val=6718 steps/epoch=61
ep00 train=6.9140 val_ce=3.9035 val_kd=3.1487 val_vmse=1.0892 top1=0.159 vmae_cp=89.9 (21s)
ep01 train=6.6681 val_ce=3.7660 val_kd=3.1305 val_vmse=1.0854 top1=0.169 vmae_cp=88.8 (2s)
ep02 train=6.4917 val_ce=3.6790 val_kd=3.0954 val_vmse=1.0827 top1=0.180 vmae_cp=88.1 (2s)
ep03 train=6.3267 val_ce=3.6208 val_kd=3.0481 val_vmse=1.0811 top1=0.184 vmae_cp=88.0 (2s)
ep04 train=6.1670 val_ce=3.5729 val_kd=3.0246 val_vmse=1.0802 top1=0.192 vmae_cp=87.7 (2s)
ep05 train=6.0354 val_ce=3.5365 val_kd=2.9905 val_vmse=1.0799 top1=0.195 vmae_cp=87.8 (2s)
ep06 train=5.9167 val_ce=3.5074 val_kd=2.9719 val_vmse=1.0798 top1=0.201 vmae_cp=88.0 (2s)
ep07 train=5.8058 val_ce=3.4867 val_kd=2.9428 val_vmse=1.0794 top1=0.200 vmae_cp=87.7 (2s)
ep08 train=5.7055 val_ce=3.4773 val_kd=2.8676 val_vmse=1.0794 top1=0.198 vmae_cp=88.0 (2s)
ep09 train=5.6098 val_ce=3.4527 val_kd=2.8746 val_vmse=1.0799 top1=0.200 vmae_cp=87.7 (2s)
ep10 train=5.5200 val_ce=3.4585 val_kd=2.8163 val_vmse=1.0796 top1=0.199 vmae_cp=88.2 (2s)
ep11 train=5.4428 val_ce=3.4429 val_kd=2.8110 val_vmse=1.0794 top1=0.202 vmae_cp=88.0 (2s)
ep12 train=5.3651 val_ce=3.4173 val_kd=2.8453 val_vmse=1.0801 top1=0.202 vmae_cp=88.7 (2s)
ep13 train=5.2943 val_ce=3.4187 val_kd=2.8098 val_vmse=1.0802 top1=0.205 vmae_cp=88.6 (2s)
ep14 train=5.2251 val_ce=3.4071 val_kd=2.7945 val_vmse=1.0804 top1=0.204 vmae_cp=88.7 (2s)
ep15 train=5.1593 val_ce=3.4002 val_kd=2.7811 val_vmse=1.0803 top1=0.207 vmae_cp=88.6 (2s)
ep16 train=5.1022 val_ce=3.3952 val_kd=2.7653 val_vmse=1.0805 top1=0.210 vmae_cp=88.8 (2s)
ep17 train=5.0489 val_ce=3.3951 val_kd=2.7564 val_vmse=1.0822 top1=0.212 vmae_cp=89.9 (2s)
ep18 train=4.9956 val_ce=3.3946 val_kd=2.7409 val_vmse=1.0820 top1=0.210 vmae_cp=89.7 (2s)
ep19 train=4.9465 val_ce=3.3914 val_kd=2.7386 val_vmse=1.0819 top1=0.207 vmae_cp=89.6 (2s)
ep20 train=4.9046 val_ce=3.3848 val_kd=2.7490 val_vmse=1.0820 top1=0.210 vmae_cp=89.7 (2s)
ep21 train=4.8635 val_ce=3.3980 val_kd=2.7056 val_vmse=1.0826 top1=0.212 vmae_cp=90.1 (2s)
ep22 train=4.8263 val_ce=3.3948 val_kd=2.7072 val_vmse=1.0828 top1=0.212 vmae_cp=90.0 (2s)
ep23 train=4.7927 val_ce=3.3858 val_kd=2.7184 val_vmse=1.0833 top1=0.211 vmae_cp=90.5 (2s)
ep24 train=4.7636 val_ce=3.3863 val_kd=2.7104 val_vmse=1.0834 top1=0.209 vmae_cp=90.6 (2s)
ep25 train=4.7364 val_ce=3.3865 val_kd=2.7024 val_vmse=1.0833 top1=0.211 vmae_cp=90.4 (2s)
ep26 train=4.7123 val_ce=3.3919 val_kd=2.6856 val_vmse=1.0839 top1=0.211 vmae_cp=90.8 (2s)
ep27 train=4.6897 val_ce=3.3912 val_kd=2.6862 val_vmse=1.0838 top1=0.215 vmae_cp=90.7 (2s)
ep28 train=4.6701 val_ce=3.3946 val_kd=2.6868 val_vmse=1.0840 top1=0.213 vmae_cp=90.8 (2s)
ep29 train=4.6525 val_ce=3.3891 val_kd=2.6874 val_vmse=1.0841 top1=0.213 vmae_cp=90.8 (2s)
ep30 train=4.6386 val_ce=3.3934 val_kd=2.6783 val_vmse=1.0842 top1=0.214 vmae_cp=90.9 (2s)
ep31 train=4.6284 val_ce=3.3905 val_kd=2.6848 val_vmse=1.0844 top1=0.214 vmae_cp=91.0 (2s)
ep32 train=4.6180 val_ce=3.3943 val_kd=2.6759 val_vmse=1.0843 top1=0.213 vmae_cp=90.9 (2s)
ep33 train=4.6122 val_ce=3.3894 val_kd=2.6839 val_vmse=1.0846 top1=0.213 vmae_cp=91.1 (2s)
ep34 train=4.6026 val_ce=3.3902 val_kd=2.6819 val_vmse=1.0844 top1=0.214 vmae_cp=90.9 (2s)
ep35 train=4.5997 val_ce=3.3907 val_kd=2.6814 val_vmse=1.0846 top1=0.214 vmae_cp=91.1 (2s)
ep36 train=4.5971 val_ce=3.3911 val_kd=2.6795 val_vmse=1.0845 top1=0.213 vmae_cp=91.0 (2s)
ep37 train=4.5938 val_ce=3.3896 val_kd=2.6824 val_vmse=1.0845 top1=0.214 vmae_cp=91.1 (2s)
ep38 train=4.5943 val_ce=3.3905 val_kd=2.6819 val_vmse=1.0845 top1=0.213 vmae_cp=91.1 (2s)
ep39 train=4.5927 val_ce=3.3919 val_kd=2.6796 val_vmse=1.0846 top1=0.214 vmae_cp=91.1 (2s)
best val_comp=5.8153 -> training\checkpoints\flagship_v4\best_flagship.pt
