device: cuda
parameters: 1,449,187
warm start: 72 tensors loaded (full=True)
train=120311 val=14443 steps/epoch=118
ep00 train=5.2957 val_ce=3.3088 val_kd=2.6477 val_vmse=1.0690 top1=0.228 vmae_cp=150.6 (31s)
ep01 train=5.2358 val_ce=3.2628 val_kd=2.6340 val_vmse=1.0651 top1=0.234 vmae_cp=149.4 (5s)
ep02 train=5.1317 val_ce=3.2421 val_kd=2.5868 val_vmse=1.0640 top1=0.237 vmae_cp=149.1 (4s)
ep03 train=5.0231 val_ce=3.2304 val_kd=2.5643 val_vmse=1.0647 top1=0.237 vmae_cp=149.4 (4s)
ep04 train=4.9246 val_ce=3.2040 val_kd=2.5441 val_vmse=1.0643 top1=0.239 vmae_cp=149.1 (3s)
ep05 train=4.8348 val_ce=3.2117 val_kd=2.5290 val_vmse=1.0654 top1=0.240 vmae_cp=149.3 (3s)
ep06 train=4.7498 val_ce=3.2050 val_kd=2.4895 val_vmse=1.0632 top1=0.246 vmae_cp=148.5 (3s)
ep07 train=4.6693 val_ce=3.1694 val_kd=2.5076 val_vmse=1.0651 top1=0.242 vmae_cp=149.5 (3s)
ep08 train=4.5948 val_ce=3.1825 val_kd=2.4765 val_vmse=1.0653 top1=0.246 vmae_cp=149.5 (3s)
ep09 train=4.5246 val_ce=3.1865 val_kd=2.4524 val_vmse=1.0663 top1=0.247 vmae_cp=149.5 (3s)
ep10 train=4.4586 val_ce=3.1891 val_kd=2.4391 val_vmse=1.0675 top1=0.246 vmae_cp=150.4 (3s)
ep11 train=4.3960 val_ce=3.1857 val_kd=2.4277 val_vmse=1.0666 top1=0.249 vmae_cp=149.5 (3s)
ep12 train=4.3384 val_ce=3.2102 val_kd=2.3979 val_vmse=1.0687 top1=0.247 vmae_cp=150.6 (3s)
ep13 train=4.2831 val_ce=3.2228 val_kd=2.3845 val_vmse=1.0695 top1=0.246 vmae_cp=150.8 (3s)
ep14 train=4.2301 val_ce=3.1984 val_kd=2.4052 val_vmse=1.0684 top1=0.246 vmae_cp=150.5 (3s)
ep15 train=4.1817 val_ce=3.2235 val_kd=2.3711 val_vmse=1.0671 top1=0.247 vmae_cp=149.9 (3s)
ep16 train=4.1345 val_ce=3.2107 val_kd=2.3771 val_vmse=1.0688 top1=0.246 vmae_cp=150.5 (4s)
ep17 train=4.0930 val_ce=3.2058 val_kd=2.3810 val_vmse=1.0693 top1=0.248 vmae_cp=150.6 (4s)
ep18 train=4.0525 val_ce=3.2296 val_kd=2.3618 val_vmse=1.0692 top1=0.249 vmae_cp=150.4 (4s)
ep19 train=4.0157 val_ce=3.2407 val_kd=2.3523 val_vmse=1.0730 top1=0.247 vmae_cp=152.5 (3s)
ep20 train=3.9812 val_ce=3.2284 val_kd=2.3629 val_vmse=1.0719 top1=0.250 vmae_cp=151.8 (4s)
ep21 train=3.9486 val_ce=3.2389 val_kd=2.3495 val_vmse=1.0712 top1=0.249 vmae_cp=151.0 (4s)
ep22 train=3.9181 val_ce=3.2452 val_kd=2.3473 val_vmse=1.0714 top1=0.248 vmae_cp=151.3 (4s)
ep23 train=3.8915 val_ce=3.2435 val_kd=2.3512 val_vmse=1.0716 top1=0.250 vmae_cp=151.4 (4s)
ep24 train=3.8668 val_ce=3.2587 val_kd=2.3365 val_vmse=1.0716 top1=0.249 vmae_cp=151.2 (3s)
ep25 train=3.8439 val_ce=3.2647 val_kd=2.3328 val_vmse=1.0725 top1=0.249 vmae_cp=151.6 (3s)
ep26 train=3.8230 val_ce=3.2655 val_kd=2.3370 val_vmse=1.0721 top1=0.248 vmae_cp=151.3 (4s)
ep27 train=3.8049 val_ce=3.2712 val_kd=2.3332 val_vmse=1.0727 top1=0.249 vmae_cp=151.8 (4s)
early stop at epoch 27
best val_comp=5.4656 -> training\checkpoints\flagship_v5\best_flagship.pt
